Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5",0805,5,47u,
"C6, C8",0805,2,1n5,
C7,0805,1,470n,
"D1, D2, D3, D4",0805,4,LED_G,
J1,PinHeader_1x03_P2.54mm_Horizontal,1,R LIMIT MAX,
J2,PinHeader_2x24_P2.54mm_Horizontal,1,-,
J3,DSUB-25_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,1,P11d,
J5,PinHeader_2x03_P2.54mm_Vertical,1,ENC PWR SEL,
J6,PinHeader_2x03_P2.54mm_Vertical,1,LIM PWR SEL,
J7,PinHeader_2x03_P2.54mm_Vertical,1,HOM PWR SEL,
J8,DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,1,P04d,
J9,PinHeader_1x04_P2.54mm_Horizontal,1,MODBUS,
"Q1, Q11, Q13, Q15, Q17, Q19, Q21, Q23, Q25, Q27, Q29, Q3, Q31, Q33, Q34, Q35, Q5, Q7, Q9",SOT-23,19,BSS138KJ,
"Q10, Q12, Q14, Q16, Q18, Q2, Q20, Q22, Q24, Q26, Q28, Q30, Q32, Q4, Q6, Q8",SOT-23,16,BSS84KJ,
R1,0805,1,2k2,
"R10, R13, R16, R19, R22, R25, R28, R31, R34, R37, R4, R40, R43, R46, R49, R7",0805,16,4k7,
"R11, R12, R14, R15, R17, R18, R20, R21, R23, R24, R26, R27, R29, R30, R32, R33, R35, R36, R38, R39, R41, R42, R44, R45, R47, R48, R5, R50, R51, R53, R55, R56, R57, R58, R59, R6, R8, R9",0805,38,560R,
"R2, R52",0805,2,330R,
R3,0805,1,150R,
"R54, R60",0805,2,120R,
U1,DSN-1504-3A,1,DSN-1504-3A,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,SOIC127P599X175-8N,1,SN75LBC179AD,
