Designator,Mid X,Mid Y,Rotation,Layer
C1,92.6675,-105.0,180.0,top
C2,112.1675,-106.8,0.0,top
C3,98.217501,-108.9,90.0,top
C4,104.5675,-103.1,180.0,top
C5,139.839999,-30.199999,90.0,top
C6,153.8775,-41.7375,90.0,top
C7,158.4775,-32.975,270.0,top
C8,153.8775,-30.2375,270.0,top
D1,96.5675,-93.8,270.0,top
D2,101.907501,-93.724998,270.0,top
D3,107.3675,-93.7,270.0,top
D4,142.839999,-30.199999,270.0,top
J1,66.2,-114.2,180.0,top
J2,165.08,-76.14,0.0,top
J3,69.5,-81.5,270.0,top
J5,131.0675,-95.2,270.0,top
J6,131.0825,-102.975,270.0,top
J7,131.0675,-110.8,270.0,top
J8,69.609669,-37.855,270.0,top
J9,166.3775,-37.475,0.0,top
Q1,99.873002,-77.603172,90.0,top
Q10,134.98671,-77.603171,90.0,top
Q11,121.698709,-77.603172,90.0,top
Q12,113.19871,-77.603172,90.0,top
Q13,99.873001,-68.627837,90.0,top
Q14,91.373002,-68.627837,90.0,top
Q15,114.015003,-60.687501,90.0,top
Q16,105.515004,-60.687501,90.0,top
Q17,143.487709,-68.552501,90.0,top
Q18,134.98771,-68.552501,90.0,top
Q19,121.66071,-68.552501,90.0,top
Q2,91.373002,-77.603172,90.0,top
Q20,113.160711,-68.552501,90.0,top
Q21,135.842002,-60.687501,90.0,top
Q22,127.342003,-60.687501,90.0,top
Q23,135.862502,-51.902502,90.0,top
Q24,127.362503,-51.902502,90.0,top
Q25,135.864502,-44.402502,90.0,top
Q26,127.364503,-44.402502,90.0,top
Q27,114.037503,-51.902502,90.0,top
Q28,105.537504,-51.902502,90.0,top
Q29,83.950056,-110.143113,0.0,top
Q3,99.873003,-86.802839,90.0,top
Q30,83.950056,-101.643114,0.0,top
Q31,114.037503,-44.402502,90.0,top
Q32,105.537504,-44.402502,90.0,top
Q33,118.334251,-36.5967,180.0,top
Q34,130.634251,-36.4967,180.0,top
Q35,106.090501,-36.502501,180.0,top
Q4,91.373004,-86.802839,90.0,top
Q5,121.836207,-86.802839,90.0,top
Q6,113.336208,-86.802839,90.0,top
Q7,143.5105,-86.852839,90.0,top
Q8,135.010501,-86.852839,90.0,top
Q9,143.486709,-77.603171,90.0,top
R1,96.5675,-98.7,90.0,top
R10,126.173706,-86.802839,90.0,top
R11,117.673707,-86.802839,90.0,top
R12,109.173705,-86.802839,90.0,top
R13,147.847999,-86.852839,90.0,top
R14,139.348,-86.852839,90.0,top
R15,130.847998,-86.852839,90.0,top
R16,147.824208,-77.603171,90.0,top
R17,139.324209,-77.603171,90.0,top
R18,130.824207,-77.603171,90.0,top
R19,126.036208,-77.603172,90.0,top
R2,101.9175,-98.7,90.0,top
R20,117.536209,-77.603172,90.0,top
R21,109.036207,-77.603172,90.0,top
R22,104.2105,-68.627837,90.0,top
R23,95.710501,-68.627837,90.0,top
R24,87.210499,-68.627837,90.0,top
R25,118.352502,-60.687501,90.0,top
R26,109.852503,-60.687501,90.0,top
R27,101.352501,-60.687501,90.0,top
R28,147.825208,-68.552501,90.0,top
R29,139.325209,-68.552501,90.0,top
R3,107.3675,-98.6,90.0,top
R30,130.825207,-68.552501,90.0,top
R31,125.998209,-68.552501,90.0,top
R32,117.49821,-68.552501,90.0,top
R33,108.998208,-68.552501,90.0,top
R34,140.179501,-60.687501,90.0,top
R35,131.679502,-60.687501,90.0,top
R36,123.179501,-60.6875,90.0,top
R37,140.200001,-51.902502,90.0,top
R38,131.700002,-51.902502,90.0,top
R39,123.200001,-51.902502,90.0,top
R4,104.210501,-77.603172,90.0,top
R40,140.202001,-44.402502,90.0,top
R41,131.702002,-44.402502,90.0,top
R42,123.202,-44.402502,90.0,top
R43,118.375002,-51.902502,90.0,top
R44,109.875003,-51.902502,90.0,top
R45,101.375002,-51.902501,90.0,top
R46,83.950056,-114.480612,0.0,top
R47,83.950056,-105.980613,0.0,top
R48,83.950056,-97.480613,0.0,top
R49,118.375002,-44.402502,90.0,top
R5,95.710501,-77.603172,90.0,top
R50,109.875003,-44.402502,90.0,top
R51,101.375002,-44.402502,90.0,top
R52,145.839999,-30.199999,90.0,top
R53,114.034251,-36.5092,90.0,top
R54,151.277501,-41.7375,270.0,top
R55,122.634251,-36.5092,270.0,top
R56,126.334251,-36.4967,90.0,top
R57,134.934251,-36.4967,270.0,top
R58,101.790501,-36.502501,90.0,top
R59,110.390501,-36.502501,270.0,top
R6,87.210501,-77.603172,90.0,top
R60,151.2775,-30.2375,90.0,top
R7,104.210502,-86.802839,90.0,top
R8,95.710503,-86.802839,90.0,top
R9,87.210501,-86.802839,90.0,top
U1,101.9675,-105.3,0.0,top
U2,104.617501,-108.6,180.0,top
U3,152.8775,-36.075,180.0,top
