"Source:","C:\Users\Andi\Desktop\Andi\SULI\BME\Legokor\INDACT\INDACT_bb\repo\INDACT_Hardware\RC_SHIELD\INDACT_baseboard.kicad_sch"
"Date:","18-Oct-23 21:43:28"
"Tool:","Eeschema 7.0.7"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","135"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Availability","Check_prices","Description","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","PARTREV","Package","Price","Purchase-URL","RS_Components_1625503_Purchase_URL","RS_Components_6609369P_Purchase_URL","RS_Components_6609369_Purchase_URL","STANDARD","SnapEDA_Link"
"1","1","A1","NUCLEO-F746ZG","NUCLEO-F746ZG:NUCLEO-F746ZG","NUCLEO-F746ZG:MODULE_NUCLEO-F746ZG","","","In Stock","https://www.snapeda.com/parts/NUCLEO-F746ZG/STMicroelectronics/view-part/?ref=eda","STM32F746ZG, mbed-Enabled Development Nucleo-144 STM32F7 ARM® Cortex®-M7 MCU 32-Bit Embedded Evaluation Board","STMicroelectronics","","STMicroelectronics","NUCLEO-F746ZG","7","None","None","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=531935&manufacturer=STMicroelectronics&part_name=NUCLEO-F746ZG&search_term=stm32f7 nucleo","","","","Manufacturer Recommendation","https://www.snapeda.com/parts/NUCLEO-F746ZG/STMicroelectronics/view-part/?ref=snap"
"2","1","C1","1uF","Device:C","","~","","","","","","","","","","","","","","","","",""
"3","2","C2, C3","1.5nF","Device:C","","~","","","","","","","","","","","","","","","","",""
"4","5","C4, C5, C10, C11, C14","100n","Device:C","","~","","","","","","","","","","","","","","","","",""
"5","3","C6, C7, C8","1000u","Device:C_Polarized","","~","","","","","","","","","","","","","","","","",""
"6","1","C9","10n","Device:C","","~","","","","","","","","","","","","","","","","",""
"7","1","C12","1u","Device:C","","~","","","","","","","","","","","","","","","","",""
"8","1","C13","4u7","Device:C","","~","","","","","","","","","","","","","","","","",""
"9","2","C15, C16","11p","Device:C","","~","","","","","","","","","","","","","","","","",""
"10","1","D1","WIFI-OP","Device:LED","","~","","","","","","","","","","","","","","","","",""
"11","1","D2","3V3_STATUS","Device:LED","","~","","","","","","","","","","","","","","","","",""
"12","1","D3","5V_STATUS","Device:LED","","~","","","","","","","","","","","","","","","","",""
"13","1","D4","24V_STATUS","Device:LED","","~","","","","","","","","","","","","","","","","",""
"14","1","J1","P5a","Connector:DB25_Receptacle_MountingHoles",""," ~","","","","","","","","","","","","","","","","",""
"15","1","J2","P4a","Connector:DE9_Receptacle_MountingHoles","DB9W4P500H30LF:AMPHENOL_DB9W4P500H30LF"," ~","","In Stock","https://www.snapeda.com/parts/DB9W4P500H30LF/Amphenol/view-part/?ref=eda","D-Sub Power Board Mount Connectors, Input Output Connectors, Mixed Signal and Power 9W4 Pin Right Angle Solder 30A, Europe Standard, 200 Cycles, Front: Without Accessory, Back: Harpoons for 2.4mm PCB Thickness.","Amphenol","12.93mm","Amphenol FCI","DB9W4P500H30LF","E","None","None","","","","","Manufacturer Recommendations","https://www.snapeda.com/parts/DB9W4P500H30LF/Amphenol/view-part/?ref=snap"
"16","1","J3","FAN","Connector_Generic:Conn_01x02","","~","","","","","","","","","","","","","","","","",""
"17","1","J4","I2C_TEMP","Connector_Generic:Conn_01x04","","~","","","","","","","","","","","","","","","","",""
"18","1","J5","GPIO1","Connector_Generic:Conn_01x08","","~","","","","","","","","","","","","","","","","",""
"19","1","J6","ESTOP","Connector_Generic:Conn_01x02","","~","","","","","","","","","","","","","","","","",""
"20","1","J7","DOOR_SWITCH","Connector_Generic:Conn_01x02","","~","","","","","","","","","","","","","","","","",""
"21","1","J8","GPIO2","Connector_Generic:Conn_01x08","","~","","","","","","","","","","","","","","","","",""
"22","1","J9","SPI","Connector_Generic:Conn_01x06","","~","","","","","","","","","","","","","","","","",""
"23","1","J10","POWER_SUPPLY","Connector:Screw_Terminal_01x04","","~","","","","","","","","","","","","","","","","",""
"24","1","J11","R_MOT_DRV","Connector:Screw_Terminal_01x04","","~","","","","","","","","","","","","","","","","",""
"25","1","J12","TH_MOT_DRV","Connector:Screw_Terminal_01x04","","~","","","","","","","","","","","","","","","","",""
"26","1","J13","Z_MOT_DRV","Connector:Screw_Terminal_01x04","","~","","","","","","","","","","","","","","","","",""
"27","1","J14","ALF_MOT_DRV","Connector:Screw_Terminal_01x04","","~","","","","","","","","","","","","","","","","",""
"28","1","J17","PHI_MOT_DRV","Connector:Screw_Terminal_01x04","","~","","","","","","","","","","","","","","","","",""
"29","1","J25","BET_MOT_DRV","Connector:Screw_Terminal_01x04","","~","","","","","","","","","","","","","","","","",""
"30","1","J26","SWD","Connector_Generic:Conn_01x05","","~","","","","","","","","","","","","","","","","",""
"31","1","J27","P3a","Connector:DC37_Receptacle_MountingHoles",""," ~","","","","","","","","","","","","","","","","",""
"32","2","Q1, Q2","BSS123","Transistor_FET:BSS123","Package_TO_SOT_SMD:SOT-23","http://www.diodes.com/assets/Datasheets/ds30366.pdf","","","","","","","","","","","","","","","","",""
"33","2","R1, R11","1k","Device:R","","~","","","","","","","","","","","","","","","","",""
"34","1","R2","150R","Device:R","","~","","","","","","","","","","","","","","","","",""
"35","4","R3, R4, R6, R7","560R","Device:R","","~","","","","","","","","","","","","","","","","",""
"36","1","R5","1K?","Device:R","","~","","","","","","","","","","","","","","","","",""
"37","2","R8, R10","120R","Device:R","","~","","","","","","","","","","","","","","","","",""
"38","1","R9","4K7","Device:R","","~","","","","","","","","","","","","","","","","",""
"39","1","R12","5k1","Device:R","","~","","","","","","","","","","","","","","","","",""
"40","28","R13, R14, R15, R16, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45","1K2","Device:R","","~","","","","","","","","","","","","","","","","",""
"41","3","R17, R18, R19","100R","Device:R","","~","","","","","","","","","","","","","","","","",""
"42","1","R34","20k","Device:R","","~","","","","","","","","","","","","","","","","",""
"43","1","R35","200k","Device:R","","~","","","","","","","","","","","","","","","","",""
"44","1","RV1","DISP_CONTRAST","Device:R_Potentiometer","","~","","","","","","","","","","","","","","","","",""
"45","1","SW1","SW_Push","Switch:SW_Push","","~","","","","","","","","","","","","","","","","",""
"46","1","TP1","TP_24V","Connector:TestPoint","","~","","","","","","","","","","","","","","","","",""
"47","1","TP2","TP_5V","Connector:TestPoint","","~","","","","","","","","","","","","","","","","",""
"48","1","TP3","TP_COM24","Connector:TestPoint","","~","","","","","","","","","","","","","","","","",""
"49","1","TP4","TP_COM5","Connector:TestPoint","","~","","","","","","","","","","","","","","","","",""
"50","1","TP5","TP_3V3","Connector:TestPoint","","~","","","","","","","","","","","","","","","","",""
"51","1","TP6","TP_ESP01_RST","Connector:TestPoint","","~","","","","","","","","","","","","","","","","",""
"52","1","TP7","TP_ESP01_CHPD","Connector:TestPoint","","~","","","","","","","","","","","","","","","","",""
"53","1","TP8","TP_LCD_ENA","Connector:TestPoint","","~","","","","","","","","","","","","","","","","",""
"54","1","TP9","TP_LCD_Contrast","Connector:TestPoint","","~","","","","","","","","","","","","","","","","",""
"55","1","TP10","TP_SPI_NSS","Connector:TestPoint","","~","","","","","","","","","","","","","","","","",""
"56","1","U1","ESP8266-01/ESP-01","ESP8266-01_ESP-01:ESP8266-01{slash}ESP-01","ESP8266-01/ESP-01:XCVR_ESP8266-01/ESP-01","","","Not in stock","https://www.snapeda.com/parts/ESP8266-01/ESP-01/AI-Thinker/view-part/?ref=eda","MakerFocus 4pcs ESP8266 ESP-01 Serial Wireless WiFi Transceiver Receiver Module 1MB SPI Flash DC3.0-3.6V Internet of Things WiFi Module Board Compatible with Ar duino","AI-Thinker","11.2 mm","AI-Thinker","ESP8266-01/ESP-01","V1.2","Non-Standard AI-Thinker","None","","","","","Manufacturer recommendations or IPC 7351B","https://www.snapeda.com/parts/ESP8266-01/ESP-01/AI-Thinker/view-part/?ref=snap"
"57","1","U2","SN75LBC179AD","SN75LBC179AD:SN75LBC179AD","SN75LBC179AD:SOIC127P599X175-8N","","","","https://www.snapeda.com/parts/SN75LBC179AD/Texas+Instruments/view-part/?ref=eda","Low-Power Differential Line Driver and Receiver Pairs","","","Texas Instruments","SN75LBC179AD","","SOIC-8 Texas Instruments","","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=38825&manufacturer=Texas Instruments&part_name=SN75LBC179AD&search_term=sn75lbc179ad","https://www.snapeda.com/api/url_track_click/https%253A//uk.rs-online.com/web/p/line-interface-ics/1625503//%253Futm_campaign%253Dbuynow%2526utm_medium%253Daggregator%2526utm_source%253Dsnapeda%2526cm_mmc%253Daff-_-uk-_-snapeda-_-1625503/?unipart_id=38825&manufacturer=Texas Instruments&part_name=SN75LBC179AD&search_term=sn75lbc179ad","https://www.snapeda.com/api/url_track_click/https%253A//uk.rs-online.com/web/p/line-interface-ics/6609369p//%253Futm_campaign%253Dbuynow%2526utm_medium%253Daggregator%2526utm_source%253Dsnapeda%2526cm_mmc%253Daff-_-uk-_-snapeda-_-6609369P/?unipart_id=38825&manufacturer=Texas Instruments&part_name=SN75LBC179AD&search_term=sn75lbc179ad","https://www.snapeda.com/api/url_track_click/https%253A//uk.rs-online.com/web/p/line-interface-ics/6609369//%253Futm_campaign%253Dbuynow%2526utm_medium%253Daggregator%2526utm_source%253Dsnapeda%2526cm_mmc%253Daff-_-uk-_-snapeda-_-6609369/?unipart_id=38825&manufacturer=Texas Instruments&part_name=SN75LBC179AD&search_term=sn75lbc179ad","","https://www.snapeda.com/parts/SN75LBC179AD/Texas+Instruments/view-part/?ref=snap"
"58","1","U3","LCD-016N002L","Display_Character:LCD-016N002L","Display:LCD-016N002L","http://www.vishay.com/docs/37299/37299.pdf","","","","","","","","","","","","","","","","",""
"59","31","U4, U5, U6, U7, U8, U9, U10, U11, U12, U13, U14, U15, U16, U17, U18, U19, U20, U21, U22, U23, U24, U26, U27, U28, U29, U30, U31, U32, U33, U34, U35","SFH6345","SFH6345:SFH6345","SFH6345:DIP762W50P254L977H451Q8","","","In Stock","https://www.snapeda.com/parts/SFH6345/Vishay+Semiconductor+Opto+Division/view-part/?ref=eda","SFH6345 DC Input Transistor Output Optocoupler, Through Hole, 8-Pin PDIP | Vishay / Small Signal & Opto Products (SSP) SFH6345","VISHAY","","Vishay Semiconductor","SFH6345","","DIP-8 Fairchild Semiconductor","None","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=292918&manufacturer=Vishay Semiconductor&part_name=SFH6345&search_term=None","","","","","https://www.snapeda.com/parts/SFH6345/Vishay+Semiconductor+Opto+Division/view-part/?ref=snap"
"60","1","U25","STM32F030K6Tx","MCU_ST_STM32F0:STM32F030K6Tx","Package_QFP:LQFP-32_7x7mm_P0.8mm","https://www.st.com/resource/en/datasheet/stm32f030k6.pdf","","","","","","","","","","","","","","","","",""
"61","1","VR1","LM3940IMP-3.3/NOPB","LM3940IMP-3.3_NOPB:LM3940IMP-3.3{slash}NOPB","LM3940IMP-3.3/NOPB:VREG_LM3940IMP-3.3/NOPB","","","In Stock","https://www.snapeda.com/parts/LM3940IMP-3.3/NOPB/Texas+Instruments/view-part/?ref=eda","1-A, low-dropout voltage regulator for 5-V to 3.3-V conversion","Texas Instruments","1.80 mm","Texas Instruments","LM3940IMP-3.3/NOPB","G","SOT-223-4 Texas Instruments","None","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=21630&manufacturer=Texas Instruments&part_name=LM3940IMP-3.3/NOPB&search_term=lm3940imp-3.3/nopb","","","","Manufacturer Recommendations","https://www.snapeda.com/parts/LM3940IMP-3.3/NOPB/Texas+Instruments/view-part/?ref=snap"
"62","1","Y1","8MHz","Device:Crystal_GND23","","~","","","","","","","","","","","","","","","","",""
